Metric,DQN,PPO,Difference,Percent_Difference
avg_speed,25.978816590949673,25.00354785894224,0.9752687320074322,3.9005213880422906
max_speed,26.242247728,25.41642488632813,0.8258228416718687,3.2491699574793107
avg_acceleration,21.78076361695218,78.34523201836384,-56.564468401411666,-72.19899277106379
max_acceleration,251.33926294,253.09941832856356,-1.760155388563561,-0.695440313607753
avg_jerk,226.5408290894659,854.8989408495329,-628.358111760067,-73.50086445722496
lane_changes,0.327,95.287,-94.96000000000001,-99.65682621973617
collisions,0.08,0.314,-0.23399999999999999,-74.52229299363057
travel_time,40.0373,33.302,6.735300000000002,20.224911416731736
travel_distance,916.7247999120784,828.2484145204713,88.4763853916071,10.682348899252892
safety_violations,9.348,4.992,4.356000000000001,87.2596153846154
center_lane_time,0.004660740719976066,0.5177740561548055,-0.5131133154348295,-99.09985047250368
efficiency_score,7.528837919726876,6.333704539136586,1.1951333805902902,18.869421097960014
safety_score,9.0485,6.422299999999999,2.6262000000000016,40.89189231272289
comfort_score,3.903247763047816,2.3729209650551226,1.5303267979926933,64.49126711462739
overall_score,7.411584720500314,5.576986008665659,1.834598711834655,32.89588155652552
